Legales	Psicológicas	Sociales	Expediente	N° de expediente	Digital	Presencial	Aviso	Interna	Externa	Atención a mujer víctima	Atención a familiares	Edad	Procedencia	Discapacidad	Orientación sexual	Etnia	Nacionalidad	Embarazo	Nivel académico	Violencia LCVIF	Violencia Delitos	Discriminación	Acciones positivas	Grupo de Autoayuda	Modalidad de violencia	Física	Psicológica y emocional	Económica	Patrimonial	Sexual	Simbólica	Feminicida	Intervención Inicial	Primeros auxilios psicológicos	Evaluación del Riesgo legal	Toma de denuncia legal	Solicitud de medidas	Solicitud de repación del daño	Hijos e hijas	Persona adulta mayor	Usuaria	VIF derivados a FGR	Otras derivación Realizada	Gestión de  Red de apoyo	Gestión de albergue o casas de acogida	Acompañamiento administrativo	Acompañamiento judicial	Representación Legal	Preparación de prueba	audiencia etapa judicial	audiencia etapa administrativa	Recursos	Monto efectivo en concepto de reparación	Monto efectivo en concepto de cuota alimenticia	Judicialización de certificación a FGR	Informes	Reportes	Monitoreo de Medidas legal	Presenciales	Virtuales	Otras diligencias	Intervención Inicial.1	Atención en Crisis	Primeros auxilios psicológicos.1	Evaluación de Riesgo psico	Plan de seguridad psico	Toma de denuncia psico	Solicitud de medidas.1	Solicitud de repación del daño.1	Hijos e hijas.1	Persona adulta mayor.1	Usuaria.1	Derivación Realizada	Gestión de Red de apoyo	Gestión de  albergue o casa de acogida	Acompañamiento administrativo.1	Acompañamiento judicial.1	Presenciales.1	Virtuales.1	Evaluación de Ingreso a GAA	Informe Psicológico	Reporte Psicológico	Monitoreo de Medidas psico	Evaluación de Egreso de GAA	Presencial.1	Virtual	Otras diligencias.1	Intervención Inicial.2	Primeros auxilios psicológicos.2	Evaluación del riesgo social	Plan de Seguridad social	Toma de Denuncia social	Solicitud de medidas.2	Solicitud de repación del daño.2	Hijos e hijas.2	Persona adulta mayor.2	Usuaria.2	Derivación Realizada.1	Gestión de Redes de Apoyo	Gestión de albergue o casas de acogida.1	Acompañamiento administrativo.2	Acompañamiento judicial.2	Investigaciones	Entrevistas realizadas	Visitas realizadas	Evaluación de Ingreso a GAA.1	Informes de Trabajo Social	Reporte de Trabajo Social	Monitoreo de medidas social	Evaluación de Egreso de GAA.1	Presencial.2	Virtuales.2	Otras diligencias.2	Sexo	Edad.1	Adminsitrativo	Judicial	Expedientes finalizados	mes	pad
			Seguimiento a expedientes activos	73-UIAEM-3-25		1.0						35.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria	1.0					Familiar	False	True	True	True	False	False	False																										1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	73-UIAEM-3-25	1.0							35.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria						Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	84-UIAEM-3-25		1.0						32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Técnica	1.0					Familiar	False	True	True	True	False	False	False											1.0					1.0	1.0	1.0								1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	84- UIAEM-3-25		1.0						32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Técnica	1.0					Familiar	False	True	True	True	False	False	False											1.0			1.0					1.0							1.0	1.0		3.0																																																					Hombre	5.0		Favorable	False	abril	ahuachapan
			Seguimiento a expedientes activos	84-UIAEM-3-25	1.0							32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Técnica	1.0					Familiar	False	True	True	True	False	False	False																										1.0			2.0																																																					Hombre	5.0	Favorable		False	abril	ahuachapan
			Seguimiento a expedientes activos	84-UIAEM-3-25	1.0							32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Técnica	1.0					Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	84-UIAEM-3-25	1.0							32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Técnica	1.0					Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	135-UIAEM3-24		1.0						28.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	True	True	True	False	False	False	False																																									1.0					1.0																																								False	abril	ahuachapan
			Seguimiento a expedientes activos	24-UIAEM3-25		1.0						29.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	True	True	True	False	False	False	False																																																						1.0																																False	abril	ahuachapan
			Seguimiento a expedientes activos	92-uiaem3-25		1.0						41.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	True	True	True	False	False	False	False														1.0																																																																								False	abril	ahuachapan
			Seguimiento a expedientes activos	20-UIAEM3-25		1.0						36.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	False	False	False	False																																																						1.0																																False	abril	ahuachapan
			Seguimiento a expedientes activos	95-UIAEM3-25		1.0						25.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	True	False	False	False																																																			1.0		1.0																																	False	abril	ahuachapan
1.0			No se genera expediente			1.0						43.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	False	False	False	False	False																																																																																						False	abril	ahuachapan
			Seguimiento a expedientes activos	84-uiaem3-25		1.0						32.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Universitaria	1.0					Familiar	True	True	False	False	False	False	False																																																					1.0																																	False	abril	ahuachapan
			Seguimiento a expedientes activos	52-uiaem3-25		1.0						39.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Universitaria	1.0					Familiar	True	True	True	True	False	False	False																													1.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	61-uiaem3-25		1.0						31.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	True	True	False	False	False	False	False																													1.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	94-uiaem3-25	1.0							23.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	False	False	False	False																												1.0	1.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	32-UIAEM-3-25	1.0							37.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	True	False	False	False											1.0																		1.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	32-UIAEM-3-25	1.0							37.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	211-UIAEM-3-25	1.0							18.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	218-UIAEM-3-25	1.0							27.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	212-UIAEM-3-25	1.0							45.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Técnica		1.0				Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	217-UIAEM-3-25	1.0							37.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	False	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	42-UIAEM-3-25		1.0						41.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	False	False	False	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	42-UIAEM-3-25		1.0						41.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	True	True	False	False	False																										1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	42-UIAEM-3-25	1.0							41.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	True	True	False	False	False																	2.0									1.0	1.0		2.0																																																									False	abril	ahuachapan
1.0			Nuevo	99- UIEAEM-3-25		1.0						25.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Comunitaria	False	True	False	True	False	False	True	1.0													1.0			1.0										1.0		3.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	99-UIAEM-3-25		1.0						25.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0					False	True	True	True	False	False	True																											1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	82-UIAEM-3-25	1.0							56.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria				1.0		Familiar	False	True	True	True	False	False	False																												1.0	2.0																																																							Favorable		False	abril	ahuachapan
			Seguimiento a expedientes activos	82-UIAEM-3-25	1.0							56.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria				1.0		Familiar	False	True	True	True	False	False	False																												1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	86-UIAEM-3-25	1.0							31.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato				1.0		Familiar	False	True	False	False	False	False	False														1.0													1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	89-UIAEM-3-25		1.0						20.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	True	True	False	False	False						Pecuniaria									1.0			1.0								1.0	1.0		2.0																																																								Favorable	False	abril	ahuachapan
			Seguimiento a expedientes activos	89-UIAM-3-25		1.0						20.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	True	True	False	False	False																										1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	89-UIAEM-3-25	1.0							20.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	True	True	False	False	False																												1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	89-UIAEM-3-25	1.0							20.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	False	False	False	False	False																												1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	90-UIAEM-3-25		1.0						35.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Familiar	False	True	True	True	False	False	False														1.0													1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	90-UIAEM-3-25	1.0							35.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	True	True	False	False	False																												1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	92-UIAEM-3-25		1.0						29.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	True	False	False	False										1.0																1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	92-UIAEM-3-25	1.0							29.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	True	False	False	False																												1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	93-UIAEM-3-25		1.0						39.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	True	False	False	False																										1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	93-UIAEM-3-5		1.0						39.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	True	False	False	False																										1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	95-UIAEM-3-25		1.0						25.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	False	False	False	False																										1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	95-UIAEM-3-25	1.0							25.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	False	False	False	False																										1.0	1.0	1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	96-UIAEM-3-25		1.0						48.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Comunitaria	False	True	False	True	False	False	True														1.0			1.0										1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	96-UIAEM-3-25		1.0						48.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Comunitaria	False	True	False	True	False	False	True																											1.0	1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	96-UIAEM-3-25	1.0							48.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Comunitaria	False	True	False	True	False	False	True																																																																																						False	abril	ahuachapan
1.0			Nuevo	100-uiaem3-25		1.0						41.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Laboral	False	True	False	False	True	False	False	1.0			1.0	Protección																								1.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	48- UIAEM-3-25	1.0							33.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0					False	True	False	True	True	False	False																											1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	66-UIAEM-3-25	1.0							38.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria	1.0					Familiar	False	True	True	True	False	False	False																												1.0	3.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	59-UIAEM3-25		1.0						33.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	False	True	False	False																																																					1.0																																	False	abril	ahuachapan
1.0			Nuevo	101-UIAEM-3-25		1.0						33.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	True	False	False	False	1.0	1.0	1.0	1.0																									1.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	129-UIAEM-3-24		1.0						67.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Ninguna		1.0				Comunitaria	False	True	True	True	False	False	False						Pecuniaria																																																																																False	abril	ahuachapan
			Seguimiento a expedientes activos	27-UIAEM3-25		1.0						30.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	False	False	False	False																																														1.0																																								False	abril	ahuachapan
			Seguimiento a expedientes activos	76-UIAEM3-25		1.0						49.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	True	True	False	False	False											1.0			1.0												1.0	1.0		3.0																	1.0																																								False	abril	ahuachapan
			Seguimiento a expedientes activos	76-UIAEM-25	1.0							49.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	81-UIAEM-3-25	1.0							51.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	96-UIAEM-3-25		1.0						48.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Comunitaria	False	True	False	False	True	False	True															1.0		1.0	1.0									1.0		3.0																																																								Favorable	False	abril	ahuachapan
			No se genera expediente			1.0						47.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Ninguna		1.0				Comunitaria	False	False	False	True	False	False	False																																																																																						False	abril	ahuachapan
1.0			No se genera expediente			1.0						82.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria	1.0					Comunitaria	False	False	False	True	False	False	False																																																																																						False	abril	ahuachapan
1.0			No se genera expediente			1.0						29.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Universitaria	1.0					Familiar	False	True	False	False	False	False	False																																																																																						False	abril	ahuachapan
			Seguimiento a expedientes activos	201-uiaem3-24		1.0						43.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Familiar	False	False	False	False	False	False	True																												1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	93-UIAEM-3-25		1.0						39.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	True	False	False	False																	1.0									1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	93-UIAEM-325	1.0							39.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	True	False	False	False																										1.0	1.0		2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	93-UIAEM-3-25	1.0							39.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	True	False	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	94-uiaem3-25		1.0						23.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	False	False	False	False																										1.0	1.0		1.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	201-uiaem3-24	1.0							43.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Familiar	False	False	False	False	False	False	True																												1.0	1.0																																																					Mujer	13.0			False	abril	ahuachapan
			Seguimiento a expedientes activos	72-UIAEM3-25		1.0						30.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	False	False	False	False																																														1.0																																				Mujer	11.0			False	abril	ahuachapan
	1.0		Nuevo	102-UIAEM3-25		1.0						28.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	False	True	False	False	False																														1.0			1.0		1.0	Protección	Pecuniaria																																													Hombre	8.0			False	abril	ahuachapan
			Seguimiento a expedientes activos	48- UIAEM-3-25		1.0						33.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Familiar	False	True	False	True	True	False	False															1.0		1.0	1.0									1.0		3.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	48-UIAEM-3-25	1.0							33.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Familiar	False	True	False	True	True	False	False																										1.0		1.0	2.0																																																									False	abril	ahuachapan
1.0			Nuevo	103-uiaem3-25		1.0						38.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria				1.0		Familiar	False	True	True	False	False	False	False	1.0																												1.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	108- UIAEM324		1.0						26.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0					False	True	True	True	False	False	False																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	120-UIAEM3-24		1.0						36.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	False	False	False	False	False																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	112-UIAEM3-24		1.0						32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria		1.0				Familiar	True	True	False	False	False	False	False																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	125-UIAEM3-24		1.0						22.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	True	True	False	False	False	False	False																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	130-UIAEM3-24		1.0						35.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	True	True	False	False	False																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	132-UIAEM--24		1.0						58.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	False	True	True	True	False	False	False																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	145-UIAEM3-24		1.0						29.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria				1.0		Familiar	False	True	True	False	False	False	False																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	147-UIAEM3-24		1.0						34.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	True	True	True	True	False	False	False																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	164-UIAEM3-24		1.0						32.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	True	False	False		True																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	171-UIAEM3-24		1.0						33.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria	1.0					Familiar	True	True	True	True	False	False	True																																																																																						True	abril	ahuachapan
			Seguimiento a expedientes activos	44-UIAEM3-24		1.0						25.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Técnica	1.0					Familiar	False	True	True	False	False	False	False																																																			1.0																															Mujer	2.0			True	abril	ahuachapan
			Seguimiento a expedientes activos	172-UIAEM3-24		1.0						41.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Universitaria	1.0					Familiar	False	True	False	False	False	False	False																																																			1.0																																			True	abril	ahuachapan
			Seguimiento a expedientes activos	189-UIAEM3-24		1.0						24.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato		1.0				Familiar	False	True	False	False	False	False	False																																																			1.0																																			True	abril	ahuachapan
			Seguimiento a expedientes activos	87-UIAEm3-25		1.0						22.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	True	True	True	False	False	False	False																																														1.0																																								False	abril	ahuachapan
			Seguimiento a expedientes activos	201-uiaem3-24		1.0					1.0	43.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria		1.0				Familiar	False	False	False	False	False	False	True																											1.0																																																											False	abril	ahuachapan
			Seguimiento a expedientes activos	98-uiaem3-25		1.0						47.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Ninguna				1.0		Comunitaria	False	False	True	False	False	False	False																																																																																						False	abril	ahuachapan
			Seguimiento a expedientes activos	73-UIAEM3-25		1.0						35.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Primaria	1.0					Familiar	False	True	False	False	False	False	True																																														1.0																																								False	abril	ahuachapan
			Seguimiento a expedientes activos	81-UIAEM-3-25		1.0						51.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	True	True	False	False															1.0		1.0	1.0									1.0		3.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	81-UIAEM-3-25	1.0							51.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	True	True	False	False																											1.0	1.0	2.0																																																									False	abril	ahuachapan
			Seguimiento a expedientes activos	25-UIAEM3-25		1.0						30.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	False	False	False	False																																																						1.0	1.0																															False	abril	ahuachapan
			Seguimiento a expedientes activos	95-UIAEM3-25		1.0						25.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0					Familiar	False	True	False	True	False	False	False																																																						2.0																																False	abril	ahuachapan
			Seguimiento a expedientes activos	38-uiaem3-25		1.0						24.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	True	True	False	False	False	False	False																										1.0	1.0																																																											False	abril	ahuachapan
			Seguimiento a expedientes activos	149-uiaem3-24		1.0						39.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	True	True	True	False	True	False	False																										1.0	1.0		1.0																																																					Mujer	13.0			False	abril	ahuachapan
			Seguimiento a expedientes activos	149-uiaem3-24	1.0							39.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	True	True	True	False	False	False	False																																																																																		Mujer	39.0		Favorable	True	abril	ahuachapan
			Seguimiento a expedientes activos	188-uiaem3-24	1.0							20.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	True	True	False	True	False	False	False																																																																																		Hombre	2.0		Favorable	True	abril	ahuachapan
			Seguimiento a expedientes activos	4-uiaem3-25	1.0							22.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Secundaria	1.0					Familiar	True	True	False	False	True	False	False																																																																																		Hombre	1.0		Favorable	True	abril	ahuachapan
			Seguimiento a expedientes activos	175-uiaem3-24	1.0							42.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Universitaria	1.0					Familiar	False	True	False	False	False	False	False																																																																																		Hombre	10.0		Favorable	True	abril	ahuachapan
1.0			No se genera expediente			1.0						56.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Ninguna							False	False	False	False	False	False	False																																																																																						False	abril	ahuachapan
1.0			No se genera expediente			1.0						45.0	Rural	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato	1.0						False	False	False	True	False	False	False																																																																																						False	abril	ahuachapan
			Seguimiento a expedientes activos	81-UIAEM-3-25		1.0						31.0	Urbana	Ninguna	HETEROSEXUAL	No se identifica	Salvadoreña	False	Bachillerato				1.0		Familiar	False	True	False	False	False	False	False																																																																																						False	abril	ahuachapan
