Fecha de Atención	DISTRITO	PROCEDENCIA	SERVICIOS BRINDADOS	Derivaciones	Casos antiguos	Casos nuevos	Naturaleza/tipologia	Sexo	Edad	Orientación sexual	Discapacidad	Etnia	Nacionalidad	Estado familiar	Nivel educativo	Sexo.1	Edad.1	Orientación sexual.1	Persona con discapacidad	Etnia.1	Nacionalidad.1	Estado familiar.1	Nivel educativo.1	Sexo.2	Edad.2	Orientación sexual.2	Discapacidad.1	PROGRAMACIÓN DE MEDIACIONES	Mediación instalada	Sesiones realizadas por casos mediados	Con acuerdo	Sin acuerdo	Mediaciones suspendidas	Finalización por desición técnica del mediador/a	Convocatoria realizada	Motivos de no realización de la mediación	Desistimiento del solicitante	Instalación de mediación	Seguimiento	Reapertura	Con acuerdo.1	Sin acuerdo.1	Supendidas por	Motivos de no realización de la mediación.1	MONTOS ACORDADOS	EXPEDIENTES FINALIZADOS	mes	pad
7/2/2025	Chalatenango	Alcaldías	Orientaciones/Asesorías				Niñez y adolescencia-->Otros	Mujer	25.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	TÉCNICO																																febrero	chalatenango
7/2/2025	SUCHITOTO	P.G.R.	Ingresos a Mediación			64UMYC4-2025	Escolar-->Otros	Hombre	39.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Hombre	41.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO					2° Convocatoria	2° Convocatoria	DOS SESIONES		1.0														ARCHIVO DEFINITIVO	febrero	chalatenango
																Hombre	33.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																								febrero	chalatenango
10/2/2025	APOPA	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Mujer	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
10/2/2025	CIUDAD DELGADO	S/P	Ingresos a Mediación			65UMYC4-2025	Niñez y adolescencia-->Régimen de relación y trato	Mujer	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Hombre	37.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO	Mujer	10.0		Ninguna	1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	febrero	chalatenango
																								Hombre	17.0		Ninguna																				febrero	chalatenango
10/2/2025	ARCATAO	S/P	Ingresos a Mediación			66UMYC4-2025	Patrimonial-->Servidumbre	Hombre	63.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
								Mujer	62.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
10/2/2025	TEJUTLA	S/P	Ingresos a Mediación			67UMYC4-2025	Patrimonial-->Reclamación económica	Hombre	45.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																DEFINITIVO				1° Convocatoria	RESOLVIÓ FUERA DE LA PGR									$6,000.00	ARCHIVO DEFINITIVO	febrero	chalatenango
																																															febrero	chalatenango
10/2/2025	CHALATENANGO	S/P	Ingresos a Mediación			68UMYC4-2025	Patrimonial-->Servidumbre	Mujer	65.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Hombre	63.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	febrero	chalatenango
																Mujer	61.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO																								febrero	chalatenango
11/2/2025	SAN IGNACIO	S/P	Ingresos a Mediación			69UMYC4-2025	Patrimonial-->Deuda	Hombre	68.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E	Hombre	64.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO														$1,500.00	ARCHIVO DEFINITIVO	febrero	chalatenango
11/2/2025	SAN IGNACIO	S/P	Ingresos a Mediación			70UMYC4-2025	Patrimonial-->Deuda	Hombre	68.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E													2° Convocatoria																			febrero	chalatenango
11/2/2025	SAN IGNACIO	S/P	Ingresos a Mediación			71UMYC4-2025	Patrimonial-->Deuda	Hombre	68.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E	Hombre	62.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO														$1,000.00	ARCHIVO DEFINITIVO	febrero	chalatenango
11/2/2025	SAN IGNACIO	S/P	Ingresos a Mediación			72UMYC4-2025	Patrimonial-->Deuda	Hombre	68.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E	Hombre	70.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO														$450.00	ARCHIVO DEFINITIVO	febrero	chalatenango
11/2/2025	CHALATENANGO	S/P	Orientaciones/Asesorías				Familiar-->Otros	Hombre	37.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
12/2/2025	SANTA RITA	S/P	Ingresos a Mediación			73UMYC4-2025	Familiar-->Relación y comunicación del grupo familiar	Mujer	85.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	VIUDO/A	EDUCACIÓN BÁSICA	Mujer	41.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	febrero	chalatenango
								Hombre	50.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
12/2/2025	SAN ISIDRO LABRADOR	S/P	Ingresos a Mediación			74UMYC4-2025	Patrimonial-->Otros	Mujer	37.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Hombre	51.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN		1.0														ARCHIVO DEFINITIVO	febrero	chalatenango
12/2/2025	AGUA CALIENTE	S/P	Ingresos a Mediación			75UMYC4-2025	Patrimonial-->Deuda	Hombre	57.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO													2° Convocatoria																			febrero	chalatenango
13/2/2025	LA REINA	P.G.R.	Ingresos a Mediación			76UMYC4-2025	Niñez y adolescencia-->Cuidado personal	Mujer	55.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E	Mujer	31.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Hombre	2.0	Heterosexual	Ninguna	1° Convocatoria	1° Convocatoria	UNA SESIÓN	PROVISIONAL															ARCHIVO PROVISIONAL	febrero	chalatenango
																Hombre	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E	Hombre	2.0	Heterosexual	Ninguna																				febrero	chalatenango
																Mujer	56.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																								febrero	chalatenango
13/2/2025	EL PARAISO	S/P	Ingresos a Mediación			77UMYC4-2025	Patrimonial-->Deuda	Mujer	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													2° Convocatoria																			febrero	chalatenango
13/2/2025	EL PARAISO	Juzgados	Ingresos a Mediación			78UMYC4-2025	Patrimonial-->Reclamación económica	Mujer	57.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E													2° Convocatoria																			febrero	chalatenango
																																															febrero	chalatenango
14/2/2025	LAS VUELTAS	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Hombre	26.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
14/2/2025	SAN IGANCIO	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Hombre	44.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
14/2/2025	TEJUTLA	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Mujer	68.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO																																febrero	chalatenango
14/2/2025	Chalatenango	S/P	Ingresos a Mediación			79UMYC4-2025	Patrimonial-->Linderos	Hombre	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO	Hombre	60.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	febrero	chalatenango
								Mujer	62.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E																																febrero	chalatenango
17/2/2025	LAS VUELTAS	S/P	Ingresos a Mediación			80UMYC4-2025	Niñez y adolescencia-->Régimen de relación y trato	Hombre	26.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
17/2/2025	SAN IGNACIO	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Mujer	30.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
17/2/2025	Chalatenango	S/P	Orientaciones/Asesorías				Convivencia-->Vecinal	Hombre	48.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
17/2/2025	Chalatenango	S/P	Ingresos a Mediación			81UMYC4-2025	Niñez y adolescencia-->Régimen de relación y trato	Hombre	31.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
17/2/2025	TEJUTLA	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	44.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
17/2/2025	LA REINA	S/P	Ingresos a Mediación			82UMYC4-2025	Patrimonial-->Reclamación económica	Mujer	43.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
17/2/2025	TEJUTLA	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	79.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
18/2/2025	LAS VUELTAS	S/P	Orientaciones/Asesorías				Patrimonial-->Diferencias en trámites de aceptación de herencia	Hombre	51.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
18/2/2025	NUEVA CONCEPCION	P.G.R.	Orientaciones/Asesorías				Niñez y adolescencia-->Autorización de pasaporte	Mujer	45.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
18/2/2025	Chalatenango	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Mujer	34.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
19/2/2025	SAN FRANCISCO MORAZAN	S/P	Ingresos a Mediación			83UMYC4-2025	Patrimonial-->Reclamación económica	Mujer	59.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
19/2/2025	NUEVA CONCEPCION	S/P	Ingresos a Mediación			84UMYC4-2025	Niñez y adolescencia-->Régimen de relación y trato	Hombre	27.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
19/2/2025	CONCEPCION QUEZALTEEPQUE	S/P	Ingresos a Mediación			85UMYC4-2025	Patrimonial-->Linderos	Mujer	51.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO													1° Convocatoria																			febrero	chalatenango
19/2/2025	Chalatenango	S/P	Ingresos a Mediación			86UMYC4-2025	Niñez y adolescencia-->Régimen de relación y trato	Mujer	34.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO													1° Convocatoria																			febrero	chalatenango
19/2/2025	Chalatenango	Juzgados	Orientaciones/Asesorías				Niñez y adolescencia-->Cuidado personal	Hombre	43.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
19/2/2025	Chalatenango	Juzgados	Orientaciones/Asesorías				Patrimonial-->Otros	Mujer	54.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
20/2/2025	NUEVA CONCEPCION	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Hombre	55.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
20/2/2025	NUEVA CONCEPCION	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	55.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
20/2/2025	TEJUTLA	Juzgados	Ingresos a Mediación			87UMYC4-2025	Patrimonial-->Reclamación económica	Hombre	44.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO													1° Convocatoria																			febrero	chalatenango
21/2/2025	SAN ANTONIO LOS RANCHOS	Juzgados	Ingresos a Mediación			88UMYC4-2025	Convivencia-->Vecinal	Mujer	23.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
21/2/2025	SAN ANTONIO LOS RANCHOS	Juzgados	Orientaciones/Asesorías				Convivencia-->Vecinal	Mujer	23.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
21/2/2025	CHALATENANGO	Otros	Orientaciones/Asesorías				Patrimonial-->Deuda	Mujer	53.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
21/2/2025	SANTA RITA	S/P	Orientaciones/Asesorías				Niñez y adolescencia-->Régimen de relación y trato	Hombre	32.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
21/2/2025	CHALATENANGO	S/P	Ingresos a Mediación			89UMYC4-2025	Patrimonial-->Deuda	Mujer	53.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO													1° Convocatoria																			febrero	chalatenango
																																															febrero	chalatenango
24/2/2025	CHALATENANGO	F.G.R.	Ingresos a Mediación			90UMYC4-2025	Patrimonial-->Deuda	Mujer	27.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO													1° Convocatoria																			febrero	chalatenango
24/2/2025	LA REINA	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Mujer	40.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
24/2/2025	TEJUTLA	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Mujer	27.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
24/2/2025	CHALATENANGO	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	68.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
24/2/2025	CHALATENANGO	S/P	Orientaciones/Asesorías				Familiar-->Otros	Mujer	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	BACHILLERATO																																febrero	chalatenango
25/2/2025	CHALATENANGO	S/P	Ingresos a Mediación			91UMYC4-2025	Patrimonial-->Otros	Mujer	54.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
								Hombre	32.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
26/2/2025	CHALATENANGO	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	32.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
26/2/2025	el paisnal	S/P	Orientaciones/Asesorías				Familiar-->Otros	Mujer	26.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
26/2/2025	CHALATENANGO	S/P	Orientaciones/Asesorías				Patrimonial-->Deuda	Hombre	49.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
26/2/2025	Chalatenango	S/P	Orientaciones/Asesorías				Familiar-->Otros	Mujer	30.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
26/2/2025	Chalatenango	S/P	Orientaciones/Asesorías				Familiar-->Otros	Hombre	34.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
26/2/2025	EL PARAISO	S/P	Orientaciones/Asesorías				Convivencia-->Vecinal	Mujer	50.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
26/2/2025	SAN RAFAEL	S/P	Ingresos a Mediación			92UMYC4-2025	Patrimonial-->Deuda	Mujer	30.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO													1° Convocatoria																			febrero	chalatenango
27/2/2025	Chalatenango	S/P	Ingresos a Mediación			93UMYC4-2025	Familiar-->Cuidado personal de la persona adulta mayor	Hombre	42.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
								Mujer	23.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																																febrero	chalatenango
																																															febrero	chalatenango
27/2/2025	EL PARAISO	S/P	Ingresos a Mediación			94UMYC4-2025	Patrimonial-->Deuda	Hombre	50.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E													1° Convocatoria																			febrero	chalatenango
28/2/2025	NOMBRE DE JESUS	S/P	Orientaciones/Asesorías				Patrimonial-->Otros	Mujer	60.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
28/2/2025	SAN MIGUEL DE MERCEDES	S/P	Ingresos a Mediación			95UMYC4-2025	Niñez y adolescencia-->Régimen de relación y trato	Hombre	85.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO													1° Convocatoria																			febrero	chalatenango
28/2/2025	EL PARAISO	S/P	Orientaciones/Asesorías				Convivencia-->Vecinal	Mujer	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																																febrero	chalatenango
28/2/2025	EL PARAISO	S/P	Ingresos a Mediación			96UMYC4-2025	Convivencia-->Vecinal	Mujer	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA													1° Convocatoria																			febrero	chalatenango
					11UMYC4-2025		Patrimonial-->Servidumbre	Mujer	53.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA	Mujer	74.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	VIUDO/A	EDUCACIÓN BÁSICA					2° Convocatoria	2° Convocatoria	UNA SESIÓN		1.0														ARCHIVO DEFINITIVO	febrero	chalatenango
																Hombre	56.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO																								febrero	chalatenango
					14UMYC4-2025		Patrimonial-->Reclamación económica	Mujer	44.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO	Hombre	54.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO												2° Convocatoria	INASISTENCIA DEL SOLICITANTE										ARCHIVO DEFINITIVO	febrero	chalatenango
					16UMYC4-2025		Patrimonial-->Reclamación económica	Hombre	28.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	febrero	chalatenango
					19UMYC4-2025		Niñez y adolescencia-->Régimen de relación y trato	Hombre	30.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																				1° Convocatoria	INASISTENCIA DE AMBAS PARTES										ARCHIVO DEFINITIVO	febrero	chalatenango
					21UMYC4-2025		Niñez y adolescencia-->Régimen de relación y trato	Mujer	58.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E	Hombre	62.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E	Hombre	5.0	Heterosexual	Ninguna	2° Convocatoria	2° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	febrero	chalatenango
					23UMYC4-2025		Convivencia-->Vecinal	Mujer	44.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	febrero	chalatenango
					25UMYC4-2025		Patrimonial-->Deuda	Hombre	60.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																DEFINITIVO				1° Convocatoria	RESOLVIÓ FUERA DE LA PGR									$5,100.00	ARCHIVO DEFINITIVO	febrero	chalatenango
					26UMYC4-2025		Patrimonial-->Deuda	Mujer	31.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	febrero	chalatenango
					27UMYC4-2025		Patrimonial-->Diferencias en trámites de aceptación de herencia	Hombre	69.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E																DEFINITIVO				1° Convocatoria	RESOLVIÓ FUERA DE LA PGR										ARCHIVO DEFINITIVO	febrero	chalatenango
																																															febrero	chalatenango
					30UMYC4-2025		Familiar-->Relación y comunicación del grupo familiar	Mujer	27.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																				2° Convocatoria	INASISTENCIA DEL CONVOCADO/A										ARCHIVO DEFINITIVO	febrero	chalatenango
					31UMYC4-2025		Patrimonial-->Reclamación económica	Hombre	36.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																				1° Convocatoria		NO DESEA SEGUIR									ARCHIVO DEFINITIVO	febrero	chalatenango
					32UMYC4-2025		Patrimonial-->Diferencias en trámites de aceptación de herencia	Hombre	50.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA																DEFINITIVO				2° Convocatoria	RESOLVIÓ FUERA DE LA PGR										ARCHIVO DEFINITIVO	febrero	chalatenango
																																															febrero	chalatenango
					33UMYC4-2025		Patrimonial-->Otros	Hombre	82.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	N/E	Hombre	69.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN		1.0														ARCHIVO DEFINITIVO	febrero	chalatenango
					34UMYC4-2025		Patrimonial-->Servidumbre	Mujer	51.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Mujer	54.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	febrero	chalatenango
					35UMYC4-2025		Patrimonial-->Servidumbre	Mujer	72.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Hombre	82.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	EDUCACIÓN BÁSICA					2° Convocatoria	2° Convocatoria	DOS SESIONES		1.0														ARCHIVO DEFINITIVO	febrero	chalatenango
								Mujer	33.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Hombre	46.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	CASADO/A	UNIVERSITARIO																								febrero	chalatenango
					36UMYC4-2025		Convivencia-->Vecinal	Mujer	35.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	EDUCACIÓN BÁSICA	Mujer	62.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	N/E					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO														$50.00	ARCHIVO DEFINITIVO	febrero	chalatenango
					37UMYC4-2025		Familiar-->Relación y comunicación del grupo familiar	Hombre	61.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	UNIVERSITARIO	Hombre	24.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO					1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	febrero	chalatenango
																Mujer	20.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO																								febrero	chalatenango
					38UMYC4-2025		Niñez y adolescencia-->Régimen de relación y trato	Hombre	31.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	TÉCNICO	Mujer	26.0	Heterosexual	Ninguna	No se identifica	Salvadoreña	SOLTERO/A	BACHILLERATO	Mujer	5.0	Heterosexual	Ninguna	1° Convocatoria	1° Convocatoria	UNA SESIÓN	DEFINITIVO															ARCHIVO DEFINITIVO	febrero	chalatenango
